Languages,Location,Speakers 2007,Speakers 2008,Speakers 2009,Speakers 2010,Speakers 2011,Speakers 2012,Speakers 2013,Speakers 2014,Speakers 2015,Articles 2007,Articles 2008,Articles 2009,Articles 2010,Articles 2011,Articles 2012,Articles 2013,Articles 2014,Articles 2015,Users 2007,Users 2008,Users 2009,Users 2010,Users 2011,Users 2012,Users 2013,Users 2014,Users 2015
Abkhazian,Caucasus Central Asia & Middle East,152740,152740,152740,152740,152740,152740,152740,152740,152740,62,143,353,660,777,805,824,838,826,203,902,1805,3056,4344,5681,6959,8042,9357
Acehnese,Southeast Asia,0,0,3500000,3500000,3500000,3500000,3500000,3500000,3500000,1008,1008,1008,1494,1636,1722,2473,2445,2607,1050,1050,1050,3319,5181,6877,8676,10196,12017
Afrikaans,Africa,5965879,5965879,5965879,5965879,5965879,5965879,5965879,7096810,7096810,8783,11337,13743,16677,20402,25318,29618,33973,38072,2328,7242,16498,27221,36487,47059,56312,64220,74553
Akan,Africa,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,46,59,61,116,149,149,183,295,252,169,715,1307,2031,2852,2852,4353,4980,5717
Albanian,Eastern Europe,6000000,6000000,6000000,6000000,6000000,6000000,6000000,5414300,5414300,18246,21804,25338,29770,40042,44408,50354,52022,51568,4036,9341,16707,25071,36985,48068,57900,68928,79763
Alemannic,Western Europe,10000000,10000000,10000000,10000000,10000000,10000000,10000000,7299500,7299500,3335,4327,5568,7227,10597,13051,15864,17844,20391,1503,4982,10735,17515,23709,30334,35968,40734,46857
Amharic,Africa,14743556,14743556,14743556,14743556,14743556,14743556,14743556,21811600,21811600,3032,3253,3519,6321,11477,12157,13423,16242,13016,417,1995,4336,6792,9541,12484,15440,17645,20160
Arabic,Caucasus Central Asia & Middle East,255000000,255000000,255000000,255000000,255000000,255000000,255000000,236748330,236748330,48287,85016,117959,140235,164592,208208,253321,344279,402066,102273,164746,250022,339291,446676,581675,718460,905391,1116136
Aragonese,Western Europe,31000,31000,31000,31000,31000,31000,31000,10000,10000,7797,11884,18289,23579,26931,28886,29627,30380,31054,457,2808,7397,13443,18951,24964,29796,33599,38093
Armenian,Caucasus Central Asia & Middle East,6376520,6376520,6376520,6376520,6376520,6376520,6376520,5902970,5902970,3522,4139,5543,12159,17580,43184,106586,142608,192076,577,2015,2016,9403,14553,20714,26771,35655,46695
Aromanian,Eastern Europe,123300,123300,123300,123300,123300,123300,123300,12000000,12000000,2055,4336,261,61305,61698,25119,485,1108,1179,219,898,1616,3472,4680,6111,7132,7721,8391
Assamese,South Asia,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,173,195,1076,301,956,1894,2660,3002,3901,247,880,2495,2347,3458,5906,7978,10164,12992
Asturian,Western Europe,550000,550000,550000,550000,550000,550000,550000,110000,110000,10684,11897,12638,14089,15324,18494,19338,19994,45643,708,2983,6878,11191,14782,18892,24077,26894,30696
Avar,Caucasus Central Asia & Middle East,760000,760000,760000,760000,760000,760000,760000,760000,760000,155,163,379,545,1014,1046,1094,1374,2098,172,681,1334,2030,2892,3844,4765,5561,6640
Aymara,South America,2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000,368,688,703,1126,1577,2460,2941,3778,3662,216,1029,2132,3449,4625,5925,7030,7868,8873
Azeri (Azerbaijani),Caucasus Central Asia & Middle East,31400000,31400000,31400000,31400000,31400000,31400000,31400000,24237340,26000000,19405,20724,28910,48327,83567,92034,97543,100329,101928,2430,6852,14719,24729,37177,51827,66764,83460,103218
Bambara,Africa,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,144,231,284,377,386,390,395,411,357,159,737,1445,2381,3094,3878,4650,5313,5970
Banjar,Southeast Asia,0,0,0,3500000,3500000,3500000,3500000,3500000,3500000,1051,1051,1051,1051,1210,1334,1466,1481,1427,662,662,662,662,1900,3109,4262,5174,6186
Banyumasan,Southeast Asia,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,3131,3133,3162,3229,7116,12973,13040,13047,13002,373,1070,1968,2830,3887,5312,6351,7189,8095
Bashkir,Eastern Europe,1221340,1221340,1221340,1221340,1221340,1221340,1221340,1221340,1221340,209,424,531,1026,6102,25061,31235,33367,35327,191,974,2128,3600,5109,7170,9204,11119,13797
Basque,Western Europe,1033900,1033900,1033900,1033900,1033900,665800,665800,665800,720000,22910,33192,50019,62598,120575,148210,164933,205156,218930,1761,5945,13908,22899,31148,40706,48598,55521,63860
Bavarian,Western Europe,14089000,14089000,14089000,14089000,14089000,14089000,14089000,14089000,14089000,1251,2240,2942,3824,5029,6069,9096,10580,17135,496,2627,6739,11551,15601,20139,24020,26934,30811
Belarusian,Northern Europe,9081102,9081102,9081102,9081102,9081102,9081102,9081102,7960000,7960000,7764,14395,18263,25972,36183,54707,67297,78931,111382,395,3010,8506,15353,22474,31534,39392,46481,55409
Belarusian (Tarashkevitsa),Northern Europe,9081102,,9081102,9081102,9081102,9081102,9081102,9081102,9081102,8089,14939,22811,30410,40860,47682,51822,55187,57863,948,3672,9076,15263,21289,28054,33658,38418,43776
Bengali,South Asia,215000000,215000000,215000000,215000000,215000000,215000000,215000000,193261200,193261200,16630,19071,20910,22030,22757,24882,27836,33569,39922,1639,4376,10025,17879,27328,40161,55131,74611,104687
Bishnupriya Manipuri,South Asia,450000,450000,450000,450000,450000,450000,450000,117500,117500,22092,23408,24733,24747,24767,24767,25137,25126,25061,150,2170,5080,7257,9152,10913,12396,13553,14972
Bislama,Oceania,210000,210000,210000,210000,210000,210000,210000,210000,210000,50,127,153,342,391,417,457,481,466,162,661,1352,2092,2813,3555,4311,4935,5598
Bosnian,Eastern Europe,2700000,2700000,2700000,2700000,2700000,2700000,2700000,2225290,2225290,21358,25489,28367,30183,32241,32130,47447,56313,67035,3951,10702,22720,34493,44719,55810,65325,72908,83333
Breton,Western Europe,250000,532722,532722,532722,532722,532722,225000,206000,206000,17698,22873,31094,36301,40545,44712,47410,51996,56494,669,3477,8736,14423,19256,24663,29035,32563,36813
Buginese,Southeast Asia,3500000,3500000,3500000,3500000,3500000,3500000,3500000,5017800,5017800,50,82,112,128,10480,11211,14088,14089,14102,136,848,1805,2626,3673,4693,5762,6556,7433
Bulgarian,Eastern Europe,8954811,8954811,8954811,9097220,9097220,9097220,9097220,8157770,8157770,50032,66353,87624,110747,125038,142241,155260,187006,211436,20853,35583,58426,82800,103850,126792,147287,165489,187643
Burmese,Southeast Asia,42000000,42000000,42000000,42000000,42000000,42000000,42000000,32035300,32035300,103,682,2912,4559,10335,31160,31480,32512,31653,256,1486,3938,7210,11510,16653,21409,25996,33359
Buryat (Russia),Eastern Europe,330000,330000,330000,330000,330000,330000,330000,330000,330000,44,73,120,123,226,1128,823,1236,1494,94,567,1176,2064,2728,3792,4856,5732,6757
Cantonese,East Asia,64000000,,64000000,64000000,64000000,64000000,64000000,62221560,62221560,6581,9631,13000,14643,17110,22015,26989,33910,41692,3822,10928,25749,40734,50890,67450,82672,97349,115776
Catalan,Southern Europe,7500000,7500000,7500000,7500000,7500000,7500000,7500000,7200000,7200000,93899,150576,217643,301083,360766,391381,418368,445545,491282,10467,24392,48259,76382,103349,132959,160067,186055,217863
Cebuano,Southeast Asia,31000000,31000000,31000000,31000000,31000000,31000000,31000000,15810000,15810000,33579,35790,40675,42667,42804,43401,892521,1208477,1696577,423,2043,4729,7373,9633,11647,15728,19625,24544
Central Bicolano (Bikol Naga),Southeast Asia,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,172,1162,4717,4883,5240,5534,5757,6452,6644,50,656,1763,3085,4372,5816,7100,8089,9339
Chechen,Caucasus Central Asia & Middle East,1361000,1361000,1361000,1361000,1361000,1361000,1361000,1361000,1361000,193,379,402,839,1583,1598,21933,75759,115679,196,898,1903,3127,4435,5715,7290,8954,11253
Cherokee,North America,13500,13500,13500,13500,13500,13500,13500,13500,13500,200,205,210,304,318,467,496,531,485,226,982,2173,3405,4565,5992,7357,8381,9606
Cheyenne,North America,2100,2100,2100,2100,2100,2100,2100,2100,2100,14,16,62,57,134,543,571,583,578,133,651,1177,1718,2502,3511,4321,4908,5646
Chichewa,Africa,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,34,59,65,114,133,133,164,222,160,114,485,891,1372,1802,1802,2866,3250,3681
Chinese,East Asia,885000000,885000000,885000000,885000000,885000000,885000000,5640000000,1197294060,1197294060,158421,216337,288773,338399,391725,620680,741827,802934,853616,388521,560136,762961,937906,1114724,1349747,1569960,1932904,2205590
Chuvash,Eastern Europe,1330000,1330000,1330000,1330000,1330000,1330000,1330000,1077420,1077420,6914,9108,10837,11914,13306,14237,20170,30330,33766,313,1576,4042,6765,9103,11590,13661,15281,17352
Cornish,Western Europe,3500,3500,3500,3500,3500,3500,3500,3500,3500,1358,1563,1812,2022,2214,2444,2607,3490,3664,253,980,2088,3097,3986,4956,5825,6462,7251
Corsican,Western Europe,200000,200000,200000,200000,200000,200000,200000,200000,200000,5554,5480,5712,5943,6142,6329,6631,6810,5185,309,1315,2743,4182,5499,6912,8165,9198,10438
Cree,North America,117000,117000,117000,117000,117000,117000,117000,117000,117000,119,125,130,131,163,163,190,199,92,181,843,1814,2844,3744,3744,5882,6553,7660
Crimean Tatar,Eastern Europe,0,480000,480000,480000,480000,480000,480000,480000,480000,808,808,1304,1550,1600,1773,1809,4123,4486,875,875,2114,3474,4691,5888,6887,7983,9110
Croatian,Eastern Europe,6214643,6214643,6214643,6214643,6214643,6214643,6214643,5752090,5752090,39071,53036,74658,92015,104934,116709,142768,150545,160352,10019,22962,44341,65809,83556,103060,120734,135815,155143
Czech,Eastern Europe,11525089,11525089,11525089,11525089,11525089,11525089,11525089,10619340,10619340,85037,115582,145091,182382,216275,252075,282901,311394,341251,28744,56369,94632,134326,170100,208569,244263,280001,320773
Danish,Northern Europe,5299756,5299756,5299756,5299756,5299756,5299756,5299756,5522490,5522490,76741,100178,121305,140536,159260,173134,184326,194250,213009,31812,58154,91600,120350,147042,175888,202450,227894,257398
Dhivehi (Maldivian Divehi),South Asia,340000,340000,340000,340000,340000,340000,340000,340000,340000,1960,2720,3340,3552,3592,3651,3664,3667,2964,328,1505,3699,5894,7806,9860,11615,12978,14506
Dutch,Western Europe,20000000,20000000,20000000,20000000,23000000,23000000,23000000,21944690,21944690,389807,507266,578937,662980,1009574,1137565,1715054,1804862,1848969,146239,206603,283742,359237,429932,501683,572087,653876,738759
Dzongkha,South Asia,640000,640000,640000,640000,640000,640000,640000,640000,640000,67,103,129,139,164,164,186,193,154,144,646,1342,1966,2571,2571,3792,4306,4901
