Country,Region,ISO,RegionNumber
Afghanistan,"Caucasus, Central Asia & Middle East",AFG,1
Aland Islands,Northern Europe,ALA,2
Albania,Eastern Europe,ALB,3
Algeria,Africa,DZA,6
American Samoa,Oceania,ASM,7
Andorra,Southern Europe,AND,4
Angola,Africa,AGO,6
Anguilla,Caribbean,AIA,8
Antigua and Barbuda,Caribbean,ATG,8
Argentina,South America,ARG,9
Armenia,"Caucasus, Central Asia & Middle East",ARM,1
Aruba,Caribbean,ABW,8
Australia,Oceania,AUS,7
Austria,Western Europe,AUT,5
Azerbaijan,"Caucasus, Central Asia & Middle East",AZE,1
Bahamas,Caribbean,BHS,8
Bahrain,"Caucasus, Central Asia & Middle East",BHR,1
Bangladesh,South Asia,BGD,11
Barbados,Caribbean,BRB,8
Belarus,Eastern Europe,BLR,3
Belgium,Southern Europe,BEL,4
Belize,North America,BLZ,10
Benin,Africa,BEN,6
Bermuda,Caribbean,BMU,8
Bhutan,South Asia,BTN,11
Bolivia,South America,BOL,9
Bonaire,Caribbean,BES,8
Bosnia-Herzegovina,Eastern Europe,BIH,3
Botswana,Africa,BWA,6
Bouvet Island,Africa,BVT,6
Brazil,South America,BRA,9
Brunei,Southeast Asia,BRN,13
Bulgaria,Eastern Europe,BGR,3
Burkina Faso,Africa,BFA,6
Burundi,Africa,BDI,6
Cambodia,Southeast Asia,KHM,13
Cameroon,Africa,CMR,6
Canada,North America,CAN,10
Cape Verde,Africa,CPV,6
Cayman Islands,Caribbean,CYM,8
Central African Republic,Africa,CAF,6
Chad,Africa,TCD,6
Chile,South America,CHL,9
China,East Asia,CHN,12
Christmas Island,Oceania,CXR,7
Colombia,South America,COL,9
Comoros,Africa,COM,6
"Congo, Democratic Republic of the (Zaire)",Africa,COG,6
"Congo, Republic of",Africa,COD,6
Cook Islands,Oceania,COK,7
Costa Rica,North America,CRI,10
Cote d'Ivoire,Africa,CIV,6
Croatia,Eastern Europe,HRV,3
Cuba,Caribbean,CUB,8
Curacao,Caribbean,CUW,8
Cyprus,Southern Europe,CYP,4
Czech Republic,Eastern Europe,CZE,3
Denmark,Northern Europe,DNK,2
Djibouti,Africa,DJI,6
Dominica,Caribbean,DMA,8
Dominican Republic,Caribbean,DOM,8
Ecuador,South America,ECU,9
Egypt,Africa,EGY,6
El Salvador,North America,SLV,10
Equatorial Guinea,Africa,GNQ,6
Eritrea,Africa,ERI,6
Estonia,Northern Europe,EST,2
Ethiopia,Africa,ETH,6
Falkland Islands,South America,FLK,9
Faroe Islands,Northern Europe,FRO,2
Fiji,Oceania,FJI,7
Finland,Northern Europe,FIN,2
France,Southern Europe,FRA,4
French Guiana,South America,GUF,9
French Polynesia,Oceania,PYF,7
French Southern Territories,South Asia,ATF,11
Gabon,Africa,GAB,6
Gambia,Africa,GMB,6
Georgia,"Caucasus, Central Asia & Middle East",GEO,1
Germany,Western Europe,DEU,5
Ghana,Africa,GHA,6
Gibraltar,Southern Europe,GIB,4
Greece,Southern Europe,GRC,4
Greenland,North America,GRL,10
Grenada,Caribbean,GRD,8
Guatemala,North America,GTM,10
Guinea,Africa,GIN,6
Guinea Bissau,Africa,GNB,6
Guyana,South America,GUY,9
Haiti,Caribbean,HTI,8
Holy See,Southern Europe,VAT,4
Honduras,North America,HND,10
Hong Kong,East Asia,HKG,12
Hungary,Eastern Europe,HUN,3
Iceland,Northern Europe,ISL,2
India,South Asia,IND,11
Indonesia,Southeast Asia,IDN,13
Iran,"Caucasus, Central Asia & Middle East",IRN,1
Iraq,"Caucasus, Central Asia & Middle East",IRQ,1
Ireland,Western Europe,IRL,5
Isle of Man,Western Europe,IMN,5
Israel,"Caucasus, Central Asia & Middle East",ISR,1
Italy,Southern Europe,ITA,4
Jamaica,Caribbean,JAM,8
